"element_id","side","type","acceptable_duration","group_name","element_type","name","value","fictitious","selected"
"b94318f6-6d24-4f56-96b9-df2531ad6543","TWO","CURRENT",-1,"d6f4f557-12b9-4b53-9e99-2d2ed8cd11dd","TWO_WINDINGS_TRANSFORMER","permanent_limit",3411.6,false,true
"b94318f6-6d24-4f56-96b9-df2531ad6543","TWO","CURRENT",20,"d6f4f557-12b9-4b53-9e99-2d2ed8cd11dd","TWO_WINDINGS_TRANSFORMER","CL-0",3611.6,false,true
"b94318f6-6d24-4f56-96b9-df2531ad6543","TWO","CURRENT",10,"d6f4f557-12b9-4b53-9e99-2d2ed8cd11dd","TWO_WINDINGS_TRANSFORMER","CL-1",3811.6,false,true
"78736387-5f60-4832-b3fe-d50daf81b0a6","NONE","CURRENT",-1,"99941f7a-11bb-4a7b-928b-ef8145db7799","BOUNDARY_LINE","permanent_limit",1371.0,false,true
"78736387-5f60-4832-b3fe-d50daf81b0a6","NONE","CURRENT",20,"99941f7a-11bb-4a7b-928b-ef8145db7799","BOUNDARY_LINE","CL-0",1443.0,false,true
"78736387-5f60-4832-b3fe-d50daf81b0a6","NONE","CURRENT",10,"99941f7a-11bb-4a7b-928b-ef8145db7799","BOUNDARY_LINE","CL-1",1515.0,false,true
"b18cd1aa-7808-49b9-a7cf-605eaf07b006","NONE","CURRENT",-1,"4af71c73-fd57-45d2-aa83-f1b52fcc3bee","BOUNDARY_LINE","permanent_limit",1804.0,false,true
"b18cd1aa-7808-49b9-a7cf-605eaf07b006","NONE","CURRENT",20,"4af71c73-fd57-45d2-aa83-f1b52fcc3bee","BOUNDARY_LINE","CL-0",1876.0,false,true
"b18cd1aa-7808-49b9-a7cf-605eaf07b006","NONE","CURRENT",10,"4af71c73-fd57-45d2-aa83-f1b52fcc3bee","BOUNDARY_LINE","CL-1",1948.0,false,true
"ed0c5d75-4a54-43c8-b782-b20d7431630b","NONE","CURRENT",-1,"67fa7320-7477-47e9-89ff-e3a407644aef","BOUNDARY_LINE","permanent_limit",1226.0,false,true
"ed0c5d75-4a54-43c8-b782-b20d7431630b","NONE","CURRENT",20,"67fa7320-7477-47e9-89ff-e3a407644aef","BOUNDARY_LINE","CL-0",1299.0,false,true
"ed0c5d75-4a54-43c8-b782-b20d7431630b","NONE","CURRENT",10,"67fa7320-7477-47e9-89ff-e3a407644aef","BOUNDARY_LINE","CL-1",1371.0,false,true
"17086487-56ba-4979-b8de-064025a6b4da","NONE","CURRENT",-1,"a5b37323-8f73-449a-8931-f73193d95587","BOUNDARY_LINE","permanent_limit",1443.0,false,true
"17086487-56ba-4979-b8de-064025a6b4da","NONE","CURRENT",30,"a5b37323-8f73-449a-8931-f73193d95587","BOUNDARY_LINE","CL-4",1500.0,false,true
"17086487-56ba-4979-b8de-064025a6b4da","NONE","CURRENT",25,"a5b37323-8f73-449a-8931-f73193d95587","BOUNDARY_LINE","CL-3",1550.0,false,true
"17086487-56ba-4979-b8de-064025a6b4da","NONE","CURRENT",20,"a5b37323-8f73-449a-8931-f73193d95587","BOUNDARY_LINE","CL-0",1574.0,false,true
"17086487-56ba-4979-b8de-064025a6b4da","NONE","CURRENT",10,"a5b37323-8f73-449a-8931-f73193d95587","BOUNDARY_LINE","CL-1",1705.0,false,true
"a16b4a6c-70b1-4abf-9a9d-bd0fa47f9fe4","NONE","CURRENT",-1,"00672e1a-599a-44f3-aeaa-5a3c99c29ba1","BOUNDARY_LINE","permanent_limit",1180.0,false,true
"a16b4a6c-70b1-4abf-9a9d-bd0fa47f9fe4","NONE","CURRENT",20,"00672e1a-599a-44f3-aeaa-5a3c99c29ba1","BOUNDARY_LINE","CL-0",1312.0,false,true
"a16b4a6c-70b1-4abf-9a9d-bd0fa47f9fe4","NONE","CURRENT",10,"00672e1a-599a-44f3-aeaa-5a3c99c29ba1","BOUNDARY_LINE","CL-1",1443.0,false,true
"84ed55f4-61f5-4d9d-8755-bba7b877a246","ONE","CURRENT",-1,"b655ab41-8bc0-4bd3-a28c-cf9048e32b4a","THREE_WINDINGS_TRANSFORMER","permanent_limit",938.2,false,true
"84ed55f4-61f5-4d9d-8755-bba7b877a246","ONE","CURRENT",20,"b655ab41-8bc0-4bd3-a28c-cf9048e32b4a","THREE_WINDINGS_TRANSFORMER","CL-0",968.2,false,true
"84ed55f4-61f5-4d9d-8755-bba7b877a246","ONE","CURRENT",10,"b655ab41-8bc0-4bd3-a28c-cf9048e32b4a","THREE_WINDINGS_TRANSFORMER","CL-1",998.2,false,true
"84ed55f4-61f5-4d9d-8755-bba7b877a246","TWO","CURRENT",-1,"a2f11542-aeb8-4d7c-9594-25ac63e148bb","THREE_WINDINGS_TRANSFORMER","permanent_limit",1705.8,false,true
"84ed55f4-61f5-4d9d-8755-bba7b877a246","TWO","CURRENT",20,"a2f11542-aeb8-4d7c-9594-25ac63e148bb","THREE_WINDINGS_TRANSFORMER","CL-0",1805.8,false,true
"84ed55f4-61f5-4d9d-8755-bba7b877a246","TWO","CURRENT",10,"a2f11542-aeb8-4d7c-9594-25ac63e148bb","THREE_WINDINGS_TRANSFORMER","CL-1",1905.8,false,true
"84ed55f4-61f5-4d9d-8755-bba7b877a246","THREE","CURRENT",-1,"f4fb6a66-b9f6-4c71-bdd2-7e97938d1fe1","THREE_WINDINGS_TRANSFORMER","permanent_limit",17870.4,false,true
"84ed55f4-61f5-4d9d-8755-bba7b877a246","THREE","CURRENT",20,"f4fb6a66-b9f6-4c71-bdd2-7e97938d1fe1","THREE_WINDINGS_TRANSFORMER","CL-0",18870.4,false,true
"84ed55f4-61f5-4d9d-8755-bba7b877a246","THREE","CURRENT",10,"f4fb6a66-b9f6-4c71-bdd2-7e97938d1fe1","THREE_WINDINGS_TRANSFORMER","CL-1",19870.4,false,true
